Year,State,Yes,No,Category,Condition,Location 1
2003,Virgin Islands,69.60%,30.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2002,"Nationwide (States, DC, and Territories)",85.90%,14.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2002,Nationwide (States and DC),85.90%,14.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2002,Guam,78.20%,21.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Guam
"
2002,Puerto Rico,93%,7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2002,Virgin Islands,69%,31%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2001,"Nationwide (States, DC, and Territories)",86.70%,13.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2001,Nationwide (States and DC),87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2001,Guam,81.40%,18.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Guam
"
2001,Puerto Rico,91.50%,8.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2001,Virgin Islands,71.70%,28.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2000,"Nationwide (States, DC, and Territories)",88.20%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2000,Nationwide (States and DC),88.10%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2000,Puerto Rico,91%,9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
1999,"Nationwide (States, DC, and Territories)",87.60%,12.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
1999,Nationwide (States and DC),87.60%,12.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
1999,Puerto Rico,88.30%,11.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
1998,"Nationwide (States, DC, and Territories)",87%,13%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
1998,Nationwide (States and DC),87%,13%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
1998,Puerto Rico,89%,11%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
1997,"Nationwide (States, DC, and Territories)",88%,12%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
1997,Nationwide (States and DC),88%,12%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
1997,Puerto Rico,89.70%,10.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
1996,"Nationwide (States, DC, and Territories)",87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
1996,Nationwide (States and DC),87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
1996,Puerto Rico,86.40%,13.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
1995,"Nationwide (States, DC, and Territories)",87.90%,12.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
1995,Nationwide (States and DC),87.90%,12.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2010,"Nationwide (States, DC, and Territories)",82.10%,17.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2010,Nationwide (States and DC),82.20%,17.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2010,Guam,75.70%,24.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Guam
"
2010,Puerto Rico,90.80%,9.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2010,Virgin Islands,65.90%,34.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2009,"Nationwide (States, DC, and Territories)",83%,17%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2009,Nationwide (States and DC),83.10%,16.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2009,Guam,78.70%,21.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Guam
"
2009,Puerto Rico,90.30%,9.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2009,Virgin Islands,68.40%,31.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2008,"Nationwide (States, DC, and Territories)",82.90%,17.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2008,Nationwide (States and DC),82.90%,17.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2008,Guam,73.30%,26.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Guam
"
2008,Puerto Rico,90.60%,9.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2008,Virgin Islands,69.20%,30.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2007,"Nationwide (States, DC, and Territories)",83.40%,16.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2007,Nationwide (States and DC),83.40%,16.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2007,Guam,81%,19%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Guam
"
2007,Puerto Rico,90%,10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2007,Virgin Islands,68.50%,31.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2006,"Nationwide (States, DC, and Territories)",83%,17%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2006,Nationwide (States and DC),83%,17%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2006,Puerto Rico,91.50%,8.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2006,Virgin Islands,67.30%,32.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2005,"Nationwide (States, DC, and Territories)",82.90%,17.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2005,Nationwide (States and DC),82.90%,17.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2005,Puerto Rico,92%,8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2005,Virgin Islands,66.90%,33.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2004,"Nationwide (States, DC, and Territories)",82.80%,17.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2004,Nationwide (States and DC),82.80%,17.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2004,Puerto Rico,90.80%,9.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2004,Virgin Islands,67.80%,32.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2003,"Nationwide (States, DC, and Territories)",83%,17%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2003,Nationwide (States and DC),83.10%,16.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2003,Guam,77.80%,22.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Guam
"
2003,Puerto Rico,89.70%,10.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
2003,Virgin Islands,66.10%,33.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virgin Islands
"
2000,"Nationwide (States, DC, and Territories)",86.10%,13.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
2000,Nationwide (States and DC),85.80%,14.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2000,Puerto Rico,89.90%,10.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
1999,"Nationwide (States, DC, and Territories)",85.50%,14.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
1999,Nationwide (States and DC),85.20%,14.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
1999,Puerto Rico,86.80%,13.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
1998,"Nationwide (States, DC, and Territories)",84.60%,15.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
1998,Nationwide (States and DC),84.30%,15.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
1998,Puerto Rico,87.40%,12.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
1997,"Nationwide (States, DC, and Territories)",85.70%,14.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
1997,Nationwide (States and DC),85.60%,14.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
1997,Puerto Rico,88.20%,11.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
1996,"Nationwide (States, DC, and Territories)",84.70%,15.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
1996,Nationwide (States and DC),84.90%,15.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
1996,Puerto Rico,84.60%,15.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
1995,"Nationwide (States, DC, and Territories)",85.90%,14.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)
"
1995,Nationwide (States and DC),85.90%,14.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States and DC)
"
2009,New Jersey,84.80%,15.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Jersey
(40.13057004800049, -74.27369128799967)"
2006,Texas,71%,29%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Texas
(31.827240407000488, -99.42677020599967)"
2008,South Carolina,79.10%,20.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Carolina
(33.998821303000454, -81.04537120699968)"
2007,Virginia,88.20%,11.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
1995,Kentucky,83.10%,16.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
2005,Connecticut,89.40%,10.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
1999,Arizona,85.80%,14.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arizona
(34.865970280000454, -111.76381127699972)"
1996,Oregon,84.10%,15.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oregon
(44.56744942400047, -120.15503132599969)"
2008,Connecticut,90%,10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
2001,Idaho,85.20%,14.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Idaho
(43.682630005000476, -114.3637300419997)"
2004,Vermont,85.40%,14.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Vermont
(43.62538123900049, -72.51764079099962)"
2009,Missouri,86.40%,13.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
2005,Oklahoma,79.30%,20.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oklahoma
(35.47203135600046, -97.52107021399968)"
1996,Montana,84.40%,15.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Montana
(47.06652897200047, -109.42442064499971)"
1998,Louisiana,77.80%,22.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Louisiana
(31.31266064400046, -92.44568007099969)"
1997,Indiana,85.40%,14.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Indiana
(39.766910452000445, -86.14996019399968)"
1997,Vermont,83.50%,16.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Vermont
(43.62538123900049, -72.51764079099962)"
1998,Florida,77.60%,22.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Florida
(28.932040377000476, -81.92896053899966)"
2010,New Hampshire,86.60%,13.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
1999,Texas,77.40%,22.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
2001,Kansas,89.90%,10.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
2003,Virginia,87.90%,12.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
2000,District of Columbia,88.50%,11.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"District of Columbia
(38.89037138500049, -77.03196112699965)"
1997,Texas,71.80%,28.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Texas
(31.827240407000488, -99.42677020599967)"
1996,Vermont,87%,13%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
2001,New Mexico,77.50%,22.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Mexico
(34.52088095200048, -106.24058098499967)"
2000,Alabama,83.90%,16.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alabama
(32.84057112200048, -86.63186076199969)"
2006,Kansas,84.40%,15.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
1996,Arizona,79.50%,20.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arizona
(34.865970280000454, -111.76381127699972)"
2000,New Mexico,76.50%,23.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Mexico
(34.52088095200048, -106.24058098499967)"
2003,California,83.90%,16.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
1997,Wyoming,81%,19%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wyoming
(43.23554134300048, -108.10983035299967)"
2000,New York,84.70%,15.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New York
(42.82700103200045, -75.54397042699964)"
1996,South Dakota,89.90%,10.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
1998,Alabama,83.60%,16.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alabama
(32.84057112200048, -86.63186076199969)"
2010,New Hampshire,88.70%,11.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Hampshire
(43.65595011300047, -71.50036091999965)"
1996,Texas,75.40%,24.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
1997,Nevada,85.90%,14.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nevada
(39.493240390000494, -117.07184056399967)"
2010,Indiana,85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
2005,South Dakota,88.50%,11.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
2005,South Carolina,77.70%,22.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Carolina
(33.998821303000454, -81.04537120699968)"
2008,Missouri,85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
2008,Idaho,78.30%,21.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Idaho
(43.682630005000476, -114.3637300419997)"
1999,Virginia,88.80%,11.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virginia
(37.54268067400045, -78.45789046299967)"
1999,Maryland,90.20%,9.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maryland
(39.29058096400047, -76.60926011099963)"
2004,New Hampshire,85.90%,14.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
2010,Florida,83%,17%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
2004,Iowa,87.10%,12.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Iowa
(42.46940091300047, -93.81649055599968)"
2005,Massachusetts,88.20%,11.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Massachusetts
(42.27687047000046, -72.08269067499964)"
2000,Maryland,88.90%,11.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maryland
(39.29058096400047, -76.60926011099963)"
2008,Kentucky,82.80%,17.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
2003,Maine,88.20%,11.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
2008,North Carolina,82.20%,17.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Carolina
(35.466220975000454, -79.15925046299964)"
2004,Rhode Island,85.60%,14.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Rhode Island
(41.70828019300046, -71.52247031399963)"
1996,Nebraska,89.30%,10.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
2010,Arkansas,78.70%,21.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
2000,New Jersey,84.60%,15.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Jersey
(40.13057004800049, -74.27369128799967)"
1998,Mississippi,81.30%,18.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
2000,Minnesota,92.90%,7.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
2009,Mississippi,80%,20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
2000,Kentucky,85.90%,14.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kentucky
(37.645970271000465, -84.77497104799966)"
2006,Louisiana,73.50%,26.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Louisiana
(31.31266064400046, -92.44568007099969)"
2000,Connecticut,90.80%,9.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Connecticut
(41.56266102000046, -72.64984095199964)"
2005,Nevada,78.30%,21.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nevada
(39.493240390000494, -117.07184056399967)"
1996,Connecticut,89%,11%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
2003,Missouri,87.20%,12.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
2000,Idaho,82.90%,17.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Idaho
(43.682630005000476, -114.3637300419997)"
2000,Hawaii,91.70%,8.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Hawaii
(21.304850435000446, -157.85774940299973)"
2003,Oregon,77.60%,22.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oregon
(44.56744942400047, -120.15503132599969)"
2007,Vermont,86.80%,13.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Vermont
(43.62538123900049, -72.51764079099962)"
1998,Alabama,80.50%,19.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alabama
(32.84057112200048, -86.63186076199969)"
2005,Tennessee,86%,14%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Tennessee
(35.68094058000048, -85.77449091399967)"
2005,South Dakota,86%,14%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Dakota
(44.353130053000484, -100.3735306369997)"
2007,Nebraska,85.60%,14.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
2009,South Dakota,89%,11%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
1995,New Mexico,81.40%,18.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Mexico
(34.52088095200048, -106.24058098499967)"
2003,Minnesota,93.10%,6.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
2007,Wyoming,84.10%,15.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wyoming
(43.23554134300048, -108.10983035299967)"
2008,North Dakota,88.40%,11.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
2008,New Mexico,76.20%,23.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Mexico
(34.52088095200048, -106.24058098499967)"
